Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-0365,2020-01-03,2020-01-06,First Class,CG-00284,Customer 284,Home Office,United States,Colorado,Colorado,15693,West,FUR-OFF-0054,Office Supplies,Paper,Paper Model 4,69.01,2,0.05,7.16
2,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,65026,Central,FUR-OFF-0030,Office Supplies,Art,Art Model 5,14.18,2,0.0,4.86
3,US-0365,2020-01-03,2020-01-06,First Class,CG-00284,Customer 284,Home Office,United States,Colorado,Colorado,40079,West,FUR-FUR-0006,Furniture,Chairs,Chairs Model 1,267.19,2,0.2,42.44
4,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,28661,Central,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,23.68,2,0.0,7.88
5,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,36895,Central,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,35.52,3,0.0,11.24
6,US-0904,2020-01-05,2020-01-08,First Class,CG-00039,Customer 39,Corporate,United States,Virginia,Virginia,14643,South,FUR-FUR-0010,Furniture,Chairs,Chairs Model 5,1626.95,4,0.3,-51.16
7,US-0476,2020-01-08,2020-01-12,Second Class,CG-00286,Customer 286,Home Office,United States,Pennsylvania,Pennsylvania,81237,East,FUR-OFF-0028,Office Supplies,Art,Art Model 3,50.65,2,0.1,15.9
8,US-0497,2020-01-09,2020-01-14,Standard Class,CG-00278,Customer 278,Consumer,United States,Washington,Washington,53684,West,FUR-TEC-0073,Technology,Copiers,Copiers Model 3,1049.7,2,0.0,115.0
9,US-0497,2020-01-09,2020-01-14,Standard Class,CG-00278,Customer 278,Consumer,United States,Washington,Washington,23513,West,FUR-TEC-0080,Technology,Machines,Machines Model 5,872.04,2,0.0,352.6
10,US-0477,2020-01-12,2020-01-16,Second Class,CG-00055,Customer 55,Corporate,United States,Colorado,Colorado,69472,West,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,3.78,2,0.1,0.86
11,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,67700,South,FUR-TEC-0082,Technology,Phones,Phones Model 2,642.13,1,0.0,113.49
12,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,27842,South,FUR-FUR-0019,Furniture,Furnishings,Furnishings Model 4,98.66,1,0.3,-21.42
13,US-0161,2020-01-14,2020-01-15,Same Day,CG-00078,Customer 78,Consumer,United States,Florida,Florida,36326,South,FUR-FUR-0008,Furniture,Chairs,Chairs Model 3,489.74,1,0.3,7.3
14,US-0763,2020-01-15,2020-01-22,Standard Class,CG-00267,Customer 267,Corporate,United States,Ohio,Ohio,75578,Central,FUR-FUR-0009,Furniture,Chairs,Chairs Model 4,1402.34,4,0.3,-28.63
15,US-0907,2020-01-19,2020-01-25,Standard Class,CG-00229,Customer 229,Home Office,United States,Wisconsin,Wisconsin,63833,Central,FUR-FUR-0012,Furniture,Tables,Tables Model 2,3888.67,2,0.0,637.39
16,US-0272,2020-01-19,2020-01-22,Second Class,CG-00130,Customer 130,Consumer,United States,Virginia,Virginia,94245,South,FUR-TEC-0085,Technology,Phones,Phones Model 5,345.43,1,0.0,44.28
17,US-0272,2020-01-19,2020-01-22,Second Class,CG-00130,Customer 130,Consumer,United States,Virginia,Virginia,39329,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,393.04,2,0.0,82.48
18,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,65799,Central,FUR-OFF-0058,Office Supplies,Storage,Storage Model 3,24.87,1,0.1,5.4
19,US-0395,2020-01-20,2020-01-26,Standard Class,CG-00007,Customer 7,Consumer,United States,Colorado,Colorado,79990,West,FUR-OFF-0032,Office Supplies,Binders,Binders Model 2,25.85,4,0.15,3.2
20,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,13046,Central,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,1115.38,1,0.2,462.78
21,US-0941,2020-01-20,2020-01-20,Same Day,CG-00098,Customer 98,Home Office,United States,California,California,36518,West,FUR-FUR-0014,Furniture,Tables,Tables Model 4,1628.48,3,0.0,176.6
22,US-0941,2020-01-20,2020-01-20,Same Day,CG-00098,Customer 98,Home Office,United States,California,California,68238,West,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,10.06,1,0.15,2.36
23,US-0803,2020-01-20,2020-01-25,Second Class,CG-00338,Customer 338,Home Office,United States,Wisconsin,Wisconsin,80464,Central,FUR-OFF-0043,Office Supplies,Fasteners,Fasteners Model 3,2.36,2,0.1,0.2
24,US-0409,2020-01-22,2020-01-27,Standard Class,CG-00136,Customer 136,Consumer,United States,Oregon,Oregon,74478,West,FUR-OFF-0040,Office Supplies,Envelopes,Envelopes Model 5,15.44,2,0.0,1.43
25,US-0939,2020-01-25,2020-01-29,Second Class,CG-00240,Customer 240,Consumer,United States,New Jersey,New Jersey,94473,East,FUR-OFF-0059,Office Supplies,Storage,Storage Model 4,14.07,1,0.0,2.35
26,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,69867,South,FUR-FUR-0012,Furniture,Tables,Tables Model 2,7777.33,4,0.0,-188.44
27,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,23276,South,FUR-OFF-0063,Office Supplies,Supplies,Supplies Model 3,63.18,3,0.0,13.78
28,US-0295,2020-01-27,2020-01-28,First Class,CG-00248,Customer 248,Corporate,United States,Florida,Florida,21807,South,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,2788.44,2,0.0,687.26
29,US-1045,2020-01-28,2020-01-30,First Class,CG-00155,Customer 155,Home Office,United States,Indiana,Indiana,73485,Central,FUR-TEC-0082,Technology,Phones,Phones Model 2,2054.83,4,0.2,434.82
30,US-1045,2020-01-28,2020-01-30,First Class,CG-00155,Customer 155,Home Office,United States,Indiana,Indiana,93859,Central,FUR-OFF-0050,Office Supplies,Labels,Labels Model 5,4.53,1,0.15,0.99
31,US-0531,2020-01-30,2020-02-02,First Class,CG-00160,Customer 160,Corporate,United States,Utah,Utah,96396,West,FUR-OFF-0031,Office Supplies,Binders,Binders Model 1,38.81,2,0.0,4.87
32,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,85951,East,FUR-OFF-0045,Office Supplies,Fasteners,Fasteners Model 5,3.0,1,0.1,0.43
33,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,64758,East,FUR-TEC-0072,Technology,Copiers,Copiers Model 2,5576.88,4,0.0,2437.73
34,US-0576,2020-01-30,2020-02-02,First Class,CG-00050,Customer 50,Consumer,United States,New Jersey,New Jersey,29525,East,FUR-FUR-0002,Furniture,Bookcases,Bookcases Model 2,336.2,1,0.3,-13.62
35,US-0971,2020-01-31,2020-02-06,Standard Class,CG-00184,Customer 184,Home Office,United States,Texas,Texas,75393,South,FUR-OFF-0023,Office Supplies,Appliances,Appliances Model 3,982.61,5,0.0,69.6
