Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Quarter,Order Month Name,Order Day of Week,Order Day Name,Processing Days,Is Profitable,Discount Tier,Profit Margin
1,US-0365,2020-01-03,2020-01-06,First Class,CG-00284,Customer 284,Home Office,United States,Colorado,Colorado,15693,West,FUR-OFF-0054,Office Supplies,Paper,Paper Model 4,69.01,2,0.05,7.16,2020,1,1,Jan,4,Friday,3,True,Low (0-10%),10.38
2,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,65026,Central,FUR-OFF-0030,Office Supplies,Art,Art Model 5,14.18,2,0.0,4.86,2020,1,1,Jan,4,Friday,2,True,No Discount,34.27
3,US-0365,2020-01-03,2020-01-06,First Class,CG-00284,Customer 284,Home Office,United States,Colorado,Colorado,40079,West,FUR-FUR-0006,Furniture,Chairs,Chairs Model 1,267.19,2,0.2,42.44,2020,1,1,Jan,4,Friday,3,True,Medium (10-30%),15.88
4,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,28661,Central,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,23.68,2,0.0,7.88,2020,1,1,Jan,4,Friday,2,True,No Discount,33.28
5,US-0217,2020-01-03,2020-01-05,First Class,CG-00295,Customer 295,Home Office,United States,Minnesota,Minnesota,36895,Central,FUR-OFF-0049,Office Supplies,Labels,Labels Model 4,35.52,3,0.0,11.24,2020,1,1,Jan,4,Friday,2,True,No Discount,31.64
6,US-0904,2020-01-05,2020-01-08,First Class,CG-00039,Customer 39,Corporate,United States,Virginia,Virginia,14643,South,FUR-FUR-0010,Furniture,Chairs,Chairs Model 5,1626.95,4,0.3,-51.16,2020,1,1,Jan,6,Sunday,3,False,Medium (10-30%),-3.14
7,US-0476,2020-01-08,2020-01-12,Second Class,CG-00286,Customer 286,Home Office,United States,Pennsylvania,Pennsylvania,81237,East,FUR-OFF-0028,Office Supplies,Art,Art Model 3,50.65,2,0.1,15.9,2020,1,1,Jan,2,Wednesday,4,True,Low (0-10%),31.39
8,US-0497,2020-01-09,2020-01-14,Standard Class,CG-00278,Customer 278,Consumer,United States,Washington,Washington,53684,West,FUR-TEC-0073,Technology,Copiers,Copiers Model 3,1049.7,2,0.0,115.0,2020,1,1,Jan,3,Thursday,5,True,No Discount,10.96
9,US-0497,2020-01-09,2020-01-14,Standard Class,CG-00278,Customer 278,Consumer,United States,Washington,Washington,23513,West,FUR-TEC-0080,Technology,Machines,Machines Model 5,872.04,2,0.0,352.6,2020,1,1,Jan,3,Thursday,5,True,No Discount,40.43
10,US-0477,2020-01-12,2020-01-16,Second Class,CG-00055,Customer 55,Corporate,United States,Colorado,Colorado,69472,West,FUR-OFF-0041,Office Supplies,Fasteners,Fasteners Model 1,3.78,2,0.1,0.86,2020,1,1,Jan,6,Sunday,4,True,Low (0-10%),22.75
